ID_MAGALU;KIT_EXTRA
168180;true
169815;true
260968;true
322399;true
162416;true
219492;true
231102;true
345768;true
163710;true
117808;true
258676;true
246140;true
269047;true
116604;true
215649;true
95628;true
248684;true
510;true
239021;true
219630;true
221263;true
257160;true
223705;true
315192;true
279937;true
324358;true
190835;true
259509;true
207952;true
197177;true
324467;true
278777;true
195061;true
278964;true
209559;true
226032;true
311160;true
267570;true
319429;true
132119;true
100708;true
10758;true
264829;true
178781;true
167986;true
187;true
184045;true
274815;true
95513;true
3370;true
110198;true
192107;true
208098;true
97920;true
364;true
238735;true
96344;true
94681;true
176135;true
117276;true
216677;true
255156;true
178238;true
201087;true
113652;true
91055;true
160611;true
175842;true
14;true
117492;true
134784;true
204305;true
92740;true
116581;true
91066;true
113576;true
140988;true
137725;true
144053;true
130474;true
161160;true
131225;true
209389;true
131370;true
4306;true
182507;true
9459;true
201049;true
4647;true
165229;true
146773;true
10565;true
189569;true
10267;true
135245;true
10077;true
219392;true
9980;true
9516;true
185562;true
128243;true
4533;true
188440;true
10891;true
97188;true
11408;true
196591;true
355395;true
413071;true
105626;true
140196;true
212101;true
198810;true
278177;true
154909;true
125300;true
122584;true
123454;true
121808;true
195394;true
194924;true
125474;true
122158;true
121813;true
180280;true
123444;true
109173;true
114013;true
207572;true
293035;true
293414;true
206218;true
262296;true
167445;true
167468;true
167172;true
167120;true
177951;true
176793;true
269321;true
216289;true
158827;true
162195;true
213621;true
168655;true
227282;true
243997;true
236231;true
173164;true
162431;true
239625;true
162438;true
210882;true
190797;true
158912;true
177379;true
203700;true
204164;true
175036;true
187346;true
215515;true
95354;true
10580;true
225587;true
115655;true
134278;true
111561;true
177089;true
204293;true
90851;true
94185;true
90846;true
187921;true
115694;true
228522;true
244945;true
225220;true
261595;true
262241;true
245088;true
262272;true
244137;true
219099;true
231725;true
187887;true
225171;true
238802;true
158641;true
163829;true
261066;true
178594;true
156858;true
224056;true
10141;true
190682;true
223748;true
196954;true
251809;true
107981;true
94666;true
93205;true
92371;true
95640;true
93073;true
98016;true
91172;true
101024;true
91278;true
3662;true
150945;true
117585;true
121719;true
101986;true
119768;true
93551;true
138493;true
237302;true
137372;true
90916;true
116146;true
113346;true
100334;true
308;true
136363;true
9811;true
141382;true
91277;true
91393;true
177362;true
125347;true
115359;true
3592;true
127482;true
167214;true
173152;true
199807;true
173500;true
223710;true
157134;true
215513;true
162470;true
197974;true
210875;true
357573;true
116137;true
223177;true
244980;true
246489;true
163908;true
173563;true
93162;true
94275;true
123771;true
148582;true
167379;true
121117;true
146428;true
157133;true
173144;true
187532;true
223086;true
236877;true
88;true
4167;true
11031;true
11118;true
91219;true
93813;true
95170;true
97910;true
98219;true
101763;true
104773;true
119925;true
124818;true
146127;true
149275;true
190184;true
209800;true
93446;true
103016;true
113765;true
